Rk,Name,Position,Indct,First Year,Last Year,AP1,PB,St,CarAV,Games Played,Passes Completed,Passes Attempted,Passing Yards,TD Passes,Longest Pass,Ints,Sacks,Sacked Yards Lost,Rushing Attempts,Rushing Yards,Rushing TDs,Longest Rushing Run,Receptions,Receiving Yards,Receiving TDs,Longest Reception,Year
46,Dick LeBeau\LeBeDi00,DB,2010,1959,1972,0,3,12,79,185,,,,,,,,,,,,,,,,,1965.5
47,Floyd Little\LittFl00,RB,2010,1967,1975,1,5,9,70,117,2,9,43,1,35,0,1,5,1641,6323,43,80,215,2418,9,74,1971
48,John Randle\RandJo00,DT,2010,1990,2003,6,7,11,107,219,,,,,,,,,,,,,,,,,1996.5
49,Jerry Rice\RiceJe00,WR,2010,1985,2004,10,13,18,159,303,3,10,71,1,41,1,0,0,87,645,10,43,1549,22895,197,96,1994.5
50,Emmitt Smith\SmitEm00,RB,2010,1990,2004,4,8,14,129,226,1,1,21,1,21,0,0,0,4409,18355,164,75,515,3224,11,86,1997
51,Bob Hayes\HayeBo00,SE,2009,1965,1975,2,3,8,81,132,,,,,,,,,24,68,2,13,371,7414,71,95,1970
52,Randall McDaniel\McDaRa00,G,2009,1988,2001,7,12,13,119,222,,,,,,,,,2,1,0,1,1,2,1,2,1994.5
53,Bruce Smith\SmitBr00,DE,2009,1985,2003,8,11,18,148,279,,,,,,,,,1,0,0,0,,,,,1994
54,Derrick Thomas\ThomDe01,LB,2009,1989,1999,2,9,11,106,169,,,,,,,,,,,,,,,,,1994
55,Rod Woodson\WoodRo01,DB,2009,1987,2003,6,11,15,141,238,,,,,,,,,1,0,0,0,0,0,0,0,1995
56,Fred Dean\DeanFr00,DE,2008,1975,1985,2,4,6,59,141,,,,,,,,,,,,,,,,,1980
57,Darrell Green\GreeDa00,DB,2008,1983,2002,1,7,15,101,295,,,,,,,,,1,6,0,6,,,,,1992.5
58,Art Monk\MonkAr00,WR,2008,1980,1995,1,3,14,93,224,1,2,46,0,46,0,0,0,63,332,0,26,940,12721,68,79,1987.5
59,Emmitt Thomas\ThomEm00,DB,2008,1966,1978,1,5,11,70,181,,,,,,,,,,,,,,,,,1972
60,Andre Tippett\TippAn00,LB,2008,1982,1993,2,5,10,90,151,,,,,,,,,,,,,,,,,1987.5
61,Gary Zimmerman\ZimmGa00,T,2008,1986,1997,3,7,12,100,184,,,,,,,,,,,,,,,,,1991.5
62,Gene Hickerson\HickGe00,G,2007,1958,1973,3,6,13,86,202,,,,,,,,,,,,,,,,,1965.5
63,Michael Irvin\IrviMi00,WR,2007,1988,1999,1,5,10,106,159,,,,,,,,,6,6,0,9,750,11904,65,87,1993.5
64,Bruce Matthews\MattBr00,G,2007,1983,2001,7,14,19,135,296,,,,,,,,,,,,,0,0,0,0,1992
65,Charlie Sanders\SandCh01,TE,2007,1968,1977,3,7,9,53,128,,,,,,,,,4,-6,0,2,336,4817,31,54,1972.5
66,Thurman Thomas\ThomTh00,RB,2007,1988,2000,2,5,10,112,182,0,1,0,0,0,0,1,2,2877,12074,65,80,472,4458,23,74,1994
67,Roger Wehrli\WehrRo00,DB,2007,1969,1982,3,7,13,82,193,0,1,0,0,0,0,1,11,5,45,1,19,,,,,1975.5
68,Troy Aikman\AikmTr00,QB,2006,1989,2000,0,6,11,97,165,2898,4715,32942,165,90,141,259,1748,327,1016,9,25,2,-19,0,0,1994.5
69,Harry Carson\CarsHa00,LB,2006,1976,1988,0,9,13,91,173,,,,,,,,,,,,,1,13,1,13,1982
70,Warren Moon\MoonWa00,QB,2006,1984,2000,0,9,15,119,208,3988,6823,49325,291,87,233,458,3415,543,1736,22,35,,,,,1992
71,Reggie White\WhitRe00,DE,2006,1985,2000,8,13,15,157,232,,,,,,,,,,,,,,,,,1992.5
72,Rayfield Wright\WrigRa01,T,2006,1967,1979,3,6,8,82,166,,,,,,,,,1,-10,0,0,2,27,1,15,1973
73,Benny Friedman\FrieBe20,TB,2005,1927,1934,4,0,7,0,81,70,167,929,66,0,19,,,152,458,18,0,5,67,0,0,1930.5
74,Dan Marino\MariDa00,QB,2005,1983,1999,3,9,16,145,242,4967,8358,61361,420,85,252,270,1930,301,87,9,15,1,-6,0,0,1991
75,Fritz Pollard\PollFr21,TB,2005,1920,1926,1,0,6,0,49,,,,,,,,,0,0,11,0,0,0,1,0,1923
76,Steve Young\YounSt00,QB,2005,1985,1999,3,7,9,135,169,2667,4149,33124,232,97,107,358,2055,722,4239,43,49,2,2,0,6,1992
77,Bob Brown\BrowBo03,T,2004,1964,1973,5,6,10,77,126,,,,,,,,,,,,,,,,,1968.5
78,Carl Eller\ElleCa00,DE,2004,1964,1979,5,6,15,123,225,,,,,,,,,,,,,,,,,1971.5
79,John Elway\ElwaJo00,QB,2004,1983,1998,0,9,16,138,234,4123,7250,51475,300,86,226,516,3785,774,3407,33,31,3,61,1,24,1990.5
80,Barry Sanders\SandBa00,RB,2004,1989,1998,6,10,10,121,153,1,4,11,0,11,1,0,0,3062,15269,99,85,352,2921,10,66,1993.5
81,Marcus Allen\AlleMa00,RB,2003,1982,1997,2,6,12,103,222,12,27,282,6,47,1,6,32,3022,12243,123,61,587,5411,21,92,1989.5
82,Elvin Bethea\BethEl00,DE,2003,1968,1983,0,8,14,65,210,,,,,,,,,,,,,,,,,1975.5
83,Joe DeLamielleure\DeLaJo01,G,2003,1973,1985,3,6,12,87,185,,,,,,,,,,,,,,,,,1979
84,James Lofton\LoftJa00,WR,2003,1978,1993,1,8,14,101,233,1,5,43,0,43,0,0,0,32,246,1,83,764,14004,75,80,1985.5
85,Dave Casper\CaspDa00,TE,2002,1974,1984,4,5,6,52,147,0,1,0,0,0,0,0,0,6,27,0,8,378,5216,52,52,1979
86,Dan Hampton\HampDa01,DE,2002,1979,1990,1,4,11,101,157,,,,,,,,,,,,,,,,,1984.5
